Area,Floors,Material,Location,LabourCost,Duration,Cost
800,1,RCC,Hyderabad,500,120,1600000
1000,1,RCC,Hyderabad,600,140,2000000
1200,2,RCC,Hyderabad,700,160,2500000
1500,2,RCC,Hyderabad,800,180,3200000
1800,2,Steel,Hyderabad,900,200,4000000
2000,3,RCC,Hyderabad,850,220,4300000
2200,3,Steel,Hyderabad,950,240,5000000
2500,3,Steel,Hyderabad,1000,260,5800000
900,1,RCC,Warangal,500,130,1700000
1100,2,RCC,Warangal,650,150,2300000
1400,2,Steel,Warangal,750,180,3000000
1700,2,RCC,Warangal,800,200,3500000
2000,3,Steel,Warangal,900,230,4500000
2300,3,RCC,Warangal,950,250,5000000
2600,3,Steel,Warangal,1050,280,6200000
850,1,RCC,Hyderabad,530,125,1750000
950,1,Steel,Hyderabad,580,135,2100000
1050,1,RCC,Warangal,580,145,2150000
1150,2,Steel,Warangal,680,155,2550000
1250,2,RCC,Hyderabad,730,165,2650000
1300,2,Steel,Hyderabad,760,170,2900000
1350,2,RCC,Warangal,720,175,2850000
1450,2,Steel,Warangal,780,185,3150000
1550,2,RCC,Hyderabad,830,190,3350000
1600,2,Steel,Hyderabad,860,195,3600000
1650,2,RCC,Warangal,810,195,3400000
1750,2,Steel,Warangal,860,205,3750000
1850,3,RCC,Hyderabad,920,210,3950000
1900,3,Steel,Hyderabad,950,215,4250000
1950,3,RCC,Warangal,900,225,4150000
2050,3,Steel,Warangal,930,235,4650000
2100,3,RCC,Hyderabad,1020,240,4550000
2150,3,Steel,Hyderabad,1050,245,4900000
2250,3,RCC,Warangal,1000,255,4850000
2350,3,Steel,Warangal,1040,265,5250000
2400,3,RCC,Hyderabad,1150,270,5200000
2450,3,Steel,Hyderabad,1180,275,5650000
2550,3,RCC,Warangal,1120,285,5550000
2650,3,Steel,Warangal,1160,295,6100000
2700,3,RCC,Hyderabad,1280,300,5900000
2750,3,Steel,Hyderabad,1310,305,6400000
2800,3,RCC,Warangal,1250,310,6150000
2850,3,Steel,Warangal,1290,315,6650000
2900,3,RCC,Hyderabad,1380,320,6400000
2950,3,Steel,Hyderabad,1420,325,6950000
3000,4,RCC,Warangal,1350,335,6650000
3050,4,Steel,Warangal,1390,340,7150000
3100,4,RCC,Hyderabad,1490,345,6900000
3150,4,Steel,Hyderabad,1530,350,7450000
3200,4,RCC,Warangal,1450,355,7200000
880,1,RCC,Warangal,510,128,1720000
980,1,Steel,Warangal,560,138,2050000
1080,1,RCC,Hyderabad,610,148,2250000
1180,2,Steel,Hyderabad,710,158,2650000
1280,2,RCC,Warangal,700,168,2750000
1380,2,Steel,Warangal,760,178,3050000
1480,2,RCC,Hyderabad,810,188,3250000
1580,2,Steel,Hyderabad,840,192,3500000
1680,2,RCC,Warangal,830,198,3450000
1780,2,Steel,Warangal,880,208,3850000
